student number,predicted value,true value
3,21.91,54.0
14,65.21,38.0
17,12.88,69.0
18,38.28,28.0
20,76.84,49.0
30,53.71,38.0
32,49.64,44.0
34,52.23,90.0
36,63.5,87.0
42,5.14,67.0
43,34.73,81.0
45,65.72,85.0
46,50.58,58.0
55,53.91,74.0
56,67.69,75.0
58,39.64,32.0
60,50.85,61.0
66,55.98,0.0
67,71.62,36.0
68,54.96,71.0
69,60.37,81.0
77,46.65,42.0
80,49.56,69.0
