student number,predicted value,true value
1,51.4,54.0
2,42.4,38.0
5,50.8,49.0
6,62.4,38.0
8,78.6,90.0
9,78.2,87.0
10,64.6,67.0
11,67.0,81.0
22,45.2,42.0
23,52.4,69.0
24,38.2,43.0
25,63.6,36.0
55,54.8,59.0
58,65.4,84.0
59,40.0,39.0
60,37.2,39.0
64,65.8,75.0
68,72.6,85.0
78,42.6,43.0
80,42.0,35.0
81,44.2,39.0
83,53.8,47.0
85,57.2,54.0
