student number,predicted value,true value
0,56.49,54.0
1,32.94,38.0
2,64.97,69.0
20,76.79,28.0
28,62.84,49.0
29,40.84,38.0
32,49.9,44.0
36,62.87,90.0
38,29.6,87.0
41,74.81,67.0
46,50.7,81.0
53,26.97,85.0
57,70.16,58.0
58,39.97,74.0
61,13.69,75.0
63,64.75,32.0
78,69.84,61.0
79,38.07,0.0
80,49.7,36.0
84,46.23,71.0
86,70.17,81.0
87,20.45,42.0
89,56.53,69.0
