student number,predicted value,true value
7,74.29,54.0
12,69.79,38.0
14,64.77,69.0
17,18.69,28.0
20,76.47,49.0
24,57.01,38.0
27,56.5,44.0
30,57.43,90.0
32,49.61,87.0
35,48.64,67.0
37,39.3,81.0
45,65.36,85.0
56,65.93,58.0
58,44.3,74.0
61,20.96,75.0
62,62.19,32.0
64,48.54,61.0
69,63.26,0.0
77,47.45,36.0
78,68.95,71.0
80,49.56,81.0
84,54.12,42.0
88,45.97,69.0
