student number,predicted value,true value
2,70.25,54.0
15,42.48,38.0
19,69.3,69.0
23,35.55,28.0
27,57.35,49.0
30,57.41,38.0
36,66.19,44.0
37,34.95,90.0
44,69.11,87.0
46,53.54,67.0
48,52.92,81.0
51,50.28,85.0
52,51.22,58.0
54,56.78,74.0
61,20.14,75.0
62,64.69,32.0
64,51.38,61.0
67,75.39,0.0
72,53.34,36.0
74,59.37,71.0
87,24.01,81.0
88,47.95,42.0
90,58.0,69.0
