student number,predicted value,true value
9,74.72,54.0
13,79.04,38.0
15,46.58,69.0
17,14.69,28.0
18,40.53,49.0
23,35.98,38.0
24,55.96,44.0
26,48.7,90.0
31,59.54,87.0
33,46.58,67.0
38,29.13,81.0
42,3.07,85.0
43,33.03,58.0
52,49.22,74.0
53,24.03,75.0
55,57.39,32.0
59,32.3,61.0
61,16.27,0.0
62,64.78,36.0
77,45.94,71.0
82,57.56,81.0
85,55.79,42.0
86,73.76,69.0
