student number,predicted value,true value
5,51.04,49.0
9,75.15,87.0
12,78.86,85.0
13,70.64,58.0
18,29.42,0.0
24,40.15,43.0
26,41.59,46.0
27,42.04,57.0
29,62.7,43.0
30,47.95,36.0
35,59.71,73.0
46,64.76,61.0
48,73.54,86.0
53,50.03,39.0
59,38.69,39.0
61,53.86,58.0
62,30.76,0.0
70,59.26,66.0
77,64.54,71.0
83,45.91,47.0
84,64.36,49.0
85,52.49,54.0
