student number,predicted value,true value
2,41.42,38.0
3,66.75,69.0
7,42.43,44.0
9,76.26,87.0
18,24.26,0.0
24,42.08,43.0
26,40.98,46.0
27,39.9,57.0
28,51.11,39.0
31,56.08,65.0
36,45.72,43.0
40,57.67,65.0
41,42.47,54.0
42,82.21,66.0
43,24.26,9.0
52,49.96,56.0
57,70.71,77.0
61,50.12,58.0
66,40.53,50.0
71,41.08,38.0
77,64.51,71.0
84,62.48,49.0
88,29.32,33.0
