student number,predicted value,true value
4,20.93,28.0
9,76.04,87.0
14,77.58,74.0
15,65.41,75.0
19,36.87,36.0
20,66.28,71.0
24,33.19,43.0
33,48.26,48.0
39,26.47,37.0
42,76.7,66.0
43,-2.37,9.0
45,70.42,63.0
46,65.35,61.0
50,67.16,49.0
51,56.16,55.0
54,21.73,32.0
70,64.56,66.0
76,57.6,62.0
79,70.07,90.0
83,56.88,47.0
85,50.37,54.0
87,73.01,75.0
