student number,predicted value,true value
10,70.82,67.0
12,76.29,85.0
14,75.06,74.0
19,40.12,36.0
21,77.4,81.0
22,46.91,42.0
24,37.84,43.0
26,42.75,46.0
27,47.6,57.0
28,55.99,39.0
41,45.49,54.0
45,68.54,63.0
50,65.31,49.0
52,53.2,56.0
59,42.86,39.0
62,17.03,0.0
68,72.78,85.0
69,55.49,55.0
70,63.22,66.0
75,57.44,53.0
76,57.46,62.0
79,69.47,90.0
83,57.42,47.0
