student number,predicted value,true value
4,21.41,28.0
5,53.63,49.0
7,44.01,44.0
17,56.93,61.0
22,45.15,42.0
26,40.9,46.0
30,40.72,36.0
31,53.63,65.0
34,44.18,38.0
38,36.4,36.0
43,12.11,9.0
44,36.38,40.0
46,70.75,61.0
49,52.97,49.0
51,59.73,55.0
60,33.09,39.0
66,39.57,50.0
68,74.94,85.0
74,53.71,44.0
76,61.32,62.0
79,75.33,90.0
84,69.33,49.0
