student number,predicted value,true value
3,69.22,69.0
10,73.98,67.0
11,64.19,81.0
13,73.09,58.0
21,80.11,81.0
27,45.87,57.0
31,60.86,65.0
34,44.98,38.0
36,49.17,43.0
40,61.52,65.0
43,-4.31,9.0
44,33.12,40.0
47,51.95,37.0
53,50.46,39.0
58,74.34,84.0
62,10.05,0.0
65,44.45,52.0
66,40.09,50.0
72,66.47,45.0
76,57.24,62.0
81,44.73,39.0
88,18.73,33.0
